ibge_code,city,latitude,longitude
1301852,Iranduba,-3.275,-60.19
2402006,Caicó,-6.454,-37.107
3507001,Boituva,-23.286,-47.679
1505064,Novo Repartimento,-4.247,-49.95
2105401,Itapecuru-Mirim,-3.402,-44.351
2704708,Marechal Deodoro,-9.71,-35.897
2909802,Cruz das Almas,-12.668,-39.101
3519600,Ibitinga,-21.756,-48.832
1504802,Monte Alegre,-1.998,-54.072
3542602,Registro,-24.498,-47.845
2605202,Escada,-8.357,-35.224
3502101,Andradina,-20.895,-51.379
3512803,Cosmópolis,-22.642,-47.193
2314102,Viçosa do Ceará,-3.567,-41.092
4318002,São Borja,-28.658,-56.004
2915601,Itamaraju,-17.038,-39.539
2103604,Coroatá,-4.134,-44.124
2307601,Limoeiro do Norte,-5.144,-38.085
3524709,Jaguariúna,-22.704,-46.985
2709301,União dos Palmares,-9.159,-36.022
4110706,Irati,-25.47,-50.649
4207007,Içara,-28.713,-49.309
1500206,Acará,-1.954,-48.198
4306106,Cruz Alta,-28.645,-53.605
1508308,Viseu,-1.191,-46.14
2706703,Penedo,-10.287,-36.582
5100250,Alta Floresta,-9.867,-56.087
3127107,Frutal,-20.026,-48.936
4318309,São Gabriel,-30.334,-54.322
1502939,Dom Eliseu,-4.199,-47.824
2313500,Trairi,-3.269,-39.268
3505906,Batatais,-20.893,-47.592
3152105,Ponte Nova,-20.411,-42.898
2110005,Santa Luzia,-4.069,-45.69
2506301,Guarabira,-6.851,-35.485
1301704,Humaitá,-7.512,-63.033
3300803,Cachoeiras de Macacu,-22.466,-42.652
2914000,Ipirá,-12.156,-39.736
2610608,Paudalho,-7.903,-35.172
2608909,Limoeiro,-7.873,-35.44
1502301,Capitão Poço,-1.748,-47.063
3540606,Porto Feliz,-23.209,-47.525
2400208,Assu,-5.584,-36.914
1100288,Rolim de Moura,-11.727,-61.771
3304300,Rio Bonito,-22.718,-42.628
2928604,Santo Amaro,-12.547,-38.714
5106224,Nova Mutum,-13.837,-56.074
4114609,Marechal Cândido Rondon,-24.557,-54.057
3151206,Pirapora,-17.339,-44.934
2102325,Buriticupu,-4.324,-46.441
4219309,Videira,-27.009,-51.154
2609402,Moreno,-8.109,-35.084
4210100,Mafra,-26.116,-49.809
3169406,Três Pontas,-21.369,-45.511
3533908,Olímpia,-20.737,-48.911
4128203,União da Vitória,-26.227,-51.087
4203808,Canoinhas,-26.177,-50.395
2610004,Palmares,-8.684,-35.589
4321600,Tramandaí,-29.984,-50.132
4115804,Medianeira,-25.298,-54.094
2312403,São Gonçalo do Amarante,-3.605,-38.973
2926608,Ribeira do Pombal,-10.837,-38.538
1302702,Manicoré,-5.805,-61.29
3125101,Extrema,-22.854,-46.318
3131901,Itabirito,-20.25,-43.804
2112506,Tutóia,-2.761,-42.276
2304707,Granja,-3.128,-40.837
4321204,Taquara,-29.65,-50.775
